image_name,cytoplasm_area,polar_body_area,polar_present,polar_ratio,zona_area,zona_ratio,total_area,circularity
058bb2bc-ovo_25_t71_aug_1.png,44712,0,0,0,44466,0.994498121,89178,0.885035455
058bb2bc-ovo_25_t71_aug_2.png,44712,0,0,0,44466,0.994498121,89178,0.885035455
06240844-ovo_55_t186.png,44961,0,0,0,35287,0.784835747,80248,0.873151363
06240844-ovo_55_t186_aug_0.png,44961,0,0,0,35287,0.784835747,80248,0.873151363
06240844-ovo_55_t186_aug_1.png,44964,0,0,0,35284,0.784716662,80248,0.768925113
06240844-ovo_55_t186_aug_2.png,44955,0,0,0,35282,0.784829274,80237,0.791556792
0641f274-ovo_47_t116.png,39307,0,0,0,44790,1.139491694,84097,0.874722723
0641f274-ovo_47_t116_aug_0.png,39307,0,0,0,44790,1.139491694,84097,0.874722723
0641f274-ovo_47_t116_aug_1.png,39307,0,0,0,44790,1.139491694,84097,0.874722723
0641f274-ovo_47_t116_aug_2.png,39307,0,0,0,44790,1.139491694,84097,0.874722723
06841d9e-eovo_232_t1.png,0,0,0,0,190285,0,190285,0.872724659
06841d9e-eovo_232_t1_aug_0.png,0,0,0,0,190285,0,190285,0.872724659
06841d9e-eovo_232_t1_aug_1.png,0,0,0,0,190288,0,190288,0.816028691
06841d9e-eovo_232_t1_aug_2.png,0,0,0,0,190285,0,190285,0.872724659
06865ecf-ovo_21_t181.png,44779,0,0,0,37507,0.837602448,82286,0.870542239
06865ecf-ovo_21_t181_aug_0.png,44781,0,0,0,37491,0.837207744,82272,0.769214689
06865ecf-ovo_21_t181_aug_1.png,44779,0,0,0,37507,0.837602448,82286,0.870542239
06865ecf-ovo_21_t181_aug_2.png,44773,0,0,0,37505,0.837670024,82278,0.766923214
06af8819-ovo_16_t186.png,49221,0,0,0,31447,0.638893968,80668,0.866456992
06af8819-ovo_16_t186_aug_0.png,49219,0,0,0,31450,0.638980881,80669,0.80415976
06af8819-ovo_16_t186_aug_1.png,49221,0,0,0,31447,0.638893968,80668,0.866456992
06af8819-ovo_16_t186_aug_2.png,49221,0,0,0,31447,0.638893968,80668,0.866456992
06cf03b6-ovo_04_t106.png,47014,0,0,0,31216,0.663972434,78230,0.867499866
06cf03b6-ovo_04_t106_aug_0.png,47019,0,0,0,31212,0.663816755,78231,0.757598658
06cf03b6-ovo_04_t106_aug_1.png,47011,0,0,0,31220,0.664099892,78231,0.761396393
06cf03b6-ovo_04_t106_aug_2.png,47014,0,0,0,31216,0.663972434,78230,0.867499866
0719e91e-ovo_05_t46.png,47137,0,0,0,44173,0.93711946,91310,0.869639355
0719e91e-ovo_05_t46_aug_0.png,47140,0,0,0,44167,0.936932541,91307,0.780293355
0719e91e-ovo_05_t46_aug_1.png,47141,0,0,0,44174,0.937061157,91315,0.837251289
0719e91e-ovo_05_t46_aug_2.png,47137,0,0,0,44173,0.93711946,91310,0.869639355
071a46b5-ovo_51_t216.png,45742,0,0,0,34659,0.757706266,80401,0.888726265
071a46b5-ovo_51_t216_aug_0.png,45742,0,0,0,34648,0.757465786,80390,0.78322333
071a46b5-ovo_51_t216_aug_1.png,45736,0,0,0,34680,0.758264824,80416,0.773910252
071a46b5-ovo_51_t216_aug_2.png,45747,0,0,0,34651,0.757448576,80398,0.830829467
0783d82c-ovo_52_t136.png,46713,0,0,0,35139,0.752231713,81852,0.865924234
0783d82c-ovo_52_t136_aug_0.png,46706,0,0,0,35140,0.752365863,81846,0.755141883
0783d82c-ovo_52_t136_aug_1.png,46713,0,0,0,35139,0.752231713,81852,0.865924234
0783d82c-ovo_52_t136_aug_2.png,46717,0,0,0,35138,0.7521459,81855,0.800599702
0790713d-ovo_55_t41.png,45421,0,0,0,36879,0.81193721,82300,0.877515773
0790713d-ovo_55_t41_aug_0.png,45421,0,0,0,36879,0.81193721,82300,0.877515773
0790713d-ovo_55_t41_aug_1.png,45421,0,0,0,36877,0.811893177,82298,0.757634963
0790713d-ovo_55_t41_aug_2.png,45421,0,0,0,36879,0.81193721,82300,0.877515773
07964567-ovo_50_t236.png,48162,0,0,0,63307,1.314459532,111469,0.882410961
07964567-ovo_50_t236_aug_0.png,48159,0,0,0,63309,1.314582944,111468,0.810465288
07964567-ovo_50_t236_aug_1.png,48162,0,0,0,63307,1.314459532,111469,0.882410961
07964567-ovo_50_t236_aug_2.png,48153,0,0,0,63321,1.31499595,111474,0.807605795
07ab2318-ovo_50_t131.png,47998,0,0,0,54061,1.126317763,102059,0.882846738
07ab2318-ovo_50_t131_aug_0.png,47998,0,0,0,54061,1.126317763,102059,0.882846738
07ab2318-ovo_50_t131_aug_1.png,47998,0,0,0,54061,1.126317763,102059,0.882846738
07ab2318-ovo_50_t131_aug_2.png,47998,0,0,0,54061,1.126317763,102059,0.882846738
07afc3c8-ovo_52_t286.png,45157,0,0,0,30877,0.683769958,76034,0.876801889
07afc3c8-ovo_52_t286_aug_0.png,45152,0,0,0,30882,0.683956414,76034,0.791552349
07afc3c8-ovo_52_t286_aug_1.png,45155,0,0,0,30883,0.683933119,76038,0.780610324
07afc3c8-ovo_52_t286_aug_2.png,45153,0,0,0,30879,0.683874826,76032,0.854893087
07b5da9b-ovo_47_t136.png,39529,0,0,0,48911,1.237344734,88440,0.876376693
07b5da9b-ovo_47_t136_aug_0.png,39524,0,0,0,48920,1.237728975,88444,0.814118239
07b5da9b-ovo_47_t136_aug_1.png,39534,0,0,0,48909,1.237137654,88443,0.800416998
07b5da9b-ovo_47_t136_aug_2.png,39536,0,0,0,48897,1.23677155,88433,0.760752826
08538d6c-ovo_33_t56.png,42136,0,0,0,34543,0.819797798,76679,0.866658398
08538d6c-ovo_33_t56_aug_0.png,42136,0,0,0,34543,0.819797798,76679,0.866658398
08538d6c-ovo_33_t56_aug_1.png,42136,0,0,0,34543,0.819797798,76679,0.866658398
08538d6c-ovo_33_t56_aug_2.png,42132,0,0,0,34545,0.819923099,76677,0.753089127
085acc92-eovo_31_t1.png,0,0,0,0,183714,0,183714,0.788638596
085acc92-eovo_31_t1_aug_0.png,0,0,0,0,183713,0,183713,0.772324884
085acc92-eovo_31_t1_aug_1.png,0,0,0,0,183713,0,183713,0.693130813
085acc92-eovo_31_t1_aug_2.png,0,0,0,0,183714,0,183714,0.781698252
086ede93-ovo_01_t1.png,42227,0,0,0,35274,0.835342317,77501,0.886342996
086ede93-ovo_01_t1_aug_0.png,42227,0,0,0,35282,0.835531769,77509,0.8330399
086ede93-ovo_01_t1_aug_1.png,42228,0,0,0,35270,0.835227811,77498,0.87401026
086ede93-ovo_01_t1_aug_2.png,42227,0,0,0,35274,0.835342317,77501,0.886342996
09309e77-eovo_427_t1.png,88163,0,0,0,100061,1.134954573,188224,0.877141376
09309e77-eovo_427_t1_aug_0.png,88163,0,0,0,100061,1.134954573,188224,0.877141376
09309e77-eovo_427_t1_aug_1.png,88163,0,0,0,100061,1.134954573,188224,0.877141376
09309e77-eovo_427_t1_aug_2.png,88164,0,0,0,100055,1.134873645,188219,0.849498225
0940d426-ovo_06_t71.png,32275,0,0,0,63302,1.961332301,95577,0.876827823
0940d426-ovo_06_t71_aug_0.png,32270,0,0,0,62881,1.948590022,95151,0.785395582
0940d426-ovo_06_t71_aug_1.png,32275,0,0,0,63302,1.961332301,95577,0.876827823
0940d426-ovo_06_t71_aug_2.png,32275,0,0,0,63302,1.961332301,95577,0.876827823
097b661e-ovo_52_t96.png,44933,0,0,0,31169,0.693677253,76102,0.871785429
097b661e-ovo_52_t96_aug_0.png,44929,0,0,0,31175,0.693872554,76104,0.803652477
097b661e-ovo_52_t96_aug_1.png,44933,0,0,0,31169,0.693677253,76102,0.871785429
097b661e-ovo_52_t96_aug_2.png,44933,0,0,0,31169,0.693677253,76102,0.871785429
0abb6366-ovo_35_t161.png,48260,0,0,0,34528,0.715457936,82788,0.874964787
0abb6366-ovo_35_t161_aug_0.png,48260,0,0,0,34528,0.715457936,82788,0.874964787
0abb6366-ovo_35_t161_aug_1.png,48260,0,0,0,34528,0.715457936,82788,0.874964787
